,broad_category,Prod,national_estimate,avg_Severity
0,child nursery equipment and supplies,ATTACHABLE HIGH CHAIRS (INCL. BOOSTER SE,407,0.0
1,child nursery equipment and supplies,BABY BATHS OR BATHINETTES,251,0.0
2,child nursery equipment and supplies,BABY BATHTUB SEATS OR RINGS (NOT TOYS),184,0.57
3,child nursery equipment and supplies,BABY BOTTLES OR NIPPLES,1554,0.32
4,child nursery equipment and supplies,BABY BOUNCER SEATS (EXCL. JUMPERS),1534,0.06
5,child nursery equipment and supplies,BABY CARRIAGES,384,0.36
6,child nursery equipment and supplies,BABY CARRIERS (BICYCLE-MOUNTED),125,0.0
7,child nursery equipment and supplies,"BABY CARRIERS, NOT SPECIFIED",1165,0.11
8,child nursery equipment and supplies,BABY CHANGING TABLES,3378,0.14
9,child nursery equipment and supplies,BABY EXERCISERS,102,0.0
10,child nursery equipment and supplies,BABY GATES OR BARRIERS,8698,0.1
11,child nursery equipment and supplies,BABY HARNESSES,99,0.0
12,child nursery equipment and supplies,BABY MATTRESSES OR PADS,220,0.0
13,child nursery equipment and supplies,BABY RATTLES,148,0.67
14,child nursery equipment and supplies,BABY STROLLERS,12747,0.09
15,child nursery equipment and supplies,BABY WALKERS OR JUMPERS,2839,0.06
16,child nursery equipment and supplies,BASSINETS OR CRADLES,2084,0.11
17,child nursery equipment and supplies,BOOK BAGS OR BACK CARRIERS (EXCL. BABY C,13796,0.08
18,child nursery equipment and supplies,BOTTLE WARMERS,99,0.4
19,child nursery equipment and supplies,CAR SEATS (FOR INFANTS OR CHILDREN),5916,0.16
20,child nursery equipment and supplies,CRIB MOBILES OR CRIB GYMS,52,0.0
21,child nursery equipment and supplies,DIAPER FASTENERS,46,0.0
22,child nursery equipment and supplies,DIAPER PAILS,15,0.0
23,child nursery equipment and supplies,DIAPERS,3984,0.14
24,child nursery equipment and supplies,"DOLLIES, HANDTRUCKS OR LUGGAGE CARRIERS",4539,0.14
25,child nursery equipment and supplies,HIGH CHAIRS,9715,0.09
26,child nursery equipment and supplies,"INFANT&TODDLER PLAY CTRS,EXCL JUMPERS,BO",991,0.11
