,broad_category,Prod,national_estimate,avg_Severity
0,child nursery equipment and supplies,BABY STROLLERS,26,4.0
1,child nursery equipment and supplies,CAR SEATS (FOR INFANTS OR CHILDREN),15,8.0
2,child nursery equipment and supplies,HIGH CHAIRS,14,4.0
3,clothing apparel and accessories,"ARCHERY (ACTIVITY, APPAREL OR EQUIPMENT)",341,4.0
4,clothing apparel and accessories,CLOTHING ACCESSORIES,795,4.0
5,clothing apparel and accessories,"DANCING (ACTIVITY, APPAREL OR EQUIPMENT)",26,8.0
6,clothing apparel and accessories,DAY WEAR,59,7.0
7,clothing apparel and accessories,FOOTWEAR,238,6.0
8,clothing apparel and accessories,"GOLF (ACTIVITY, APPAREL OR EQUIPMENT)",52,8.0
9,clothing apparel and accessories,HATCHETS OR AXES,156,4.0
10,clothing apparel and accessories,JEWELRY,49,4.0
11,clothing apparel and accessories,"SOCCER (ACTIVITY, APPAREL OR EQUIP.)",28,8.0
12,clothing apparel and accessories,"TENNIS (ACTIVITY, APPAREL OR EQUIPMENT)",80,8.0
13,clothing apparel and accessories,"TRACK & FIELD (ACTIVITY, APPAREL OR EQUI",26,8.0
14,furniture and furnishings,BEACH CHAIRS OR FOLDING CHAIRS,59,4.0
15,furniture and furnishings,BED RAILS,28,8.0
16,furniture and furnishings,"BEDS OR BEDFRAMES, OTHER OR NOT SPEC",1005,7.86
17,furniture and furnishings,BENCH OR TABLE SAWS,3699,4.61
18,furniture and furnishings,CABINET OR DOOR HARDWARE,99,4.0
19,furniture and furnishings,"CABINETS, RACKS, ROOM DIVIDERS AND SHELV",26,4.0
20,furniture and furnishings,"CHAIRS, OTHER OR NOT SPECIFIED",96,6.4
21,furniture and furnishings,"DESKS, CHESTS, BUREAUS OR BUFFETS",208,6.6
22,furniture and furnishings,"DRAPERIES, CURTAINS, SHOWER CURTAINS(FAB",52,8.0
23,furniture and furnishings,"DRAPERY OR CURTAIN RODS, HOOKS OR RINGS",105,4.0
24,furniture and furnishings,"FURNITURE, NOT SPECIFIED",26,4.0
25,furniture and furnishings,OTHER FURNITURE,105,4.0
26,furniture and furnishings,OTHER PORTABLE OR STATIONARY POWER TOOLS,52,4.0
27,furniture and furnishings,PORTABLE CIRCULAR POWER SAWS,966,4.52
28,furniture and furnishings,PORTABLE POWER DRILLS AND ACCESSORIES,49,4.0
29,furniture and furnishings,"RUGS OR CARPETS, NOT SPECIFIED",80,6.0
30,furniture and furnishings,"RUNNERS, THROW RUGS OR DOORMATS",7,8.0
31,furniture and furnishings,"SOFAS, COUCHES, DAVENPORTS, DIVANS OR ST",328,7.43
32,furniture and furnishings,"TABLE TENNIS (ACTIVITY, APPAREL OR EQUIP",52,8.0
33,furniture and furnishings,"TABLES, NOT ELSEWHERE CLASSIFIED",228,5.78
34,furniture and furnishings,TELEVISION TABLES OR STANDS,52,8.0
