,broad_category,Prod,national_estimate,Amputation,Fatality,Hospitalized,avg_Severity,raw_count
0,child nursery equipment and supplies,ATTACHABLE HIGH CHAIRS (INCL. BOOSTER SE,407,0,0,0,0.0,16
1,child nursery equipment and supplies,BABY BATHS OR BATHINETTES,251,0,0,0,0.0,9
2,child nursery equipment and supplies,BABY BATHTUB SEATS OR RINGS (NOT TOYS),184,0,0,2,0.57,7
3,child nursery equipment and supplies,BABY BOTTLES OR NIPPLES,1554,0,0,12,0.32,74
4,child nursery equipment and supplies,BABY BOUNCER SEATS (EXCL. JUMPERS),1534,0,0,2,0.06,68
5,child nursery equipment and supplies,BABY CARRIAGES,384,0,0,2,0.36,11
6,child nursery equipment and supplies,BABY CARRIERS (BICYCLE-MOUNTED),125,0,0,0,0.0,5
7,child nursery equipment and supplies,"BABY CARRIERS, NOT SPECIFIED",1165,0,0,2,0.11,37
8,child nursery equipment and supplies,BABY CHANGING TABLES,3378,0,0,8,0.14,113
9,child nursery equipment and supplies,BABY EXERCISERS,102,0,0,0,0.0,4
10,child nursery equipment and supplies,BABY GATES OR BARRIERS,8698,0,0,12,0.1,234
11,child nursery equipment and supplies,BABY HARNESSES,99,0,0,0,0.0,5
12,child nursery equipment and supplies,BABY MATTRESSES OR PADS,220,0,0,0,0.0,8
13,child nursery equipment and supplies,BABY RATTLES,148,0,0,1,0.67,3
14,child nursery equipment and supplies,BABY STROLLERS,12747,1,0,18,0.09,459
15,child nursery equipment and supplies,BABY WALKERS OR JUMPERS,2839,0,0,3,0.06,106
16,child nursery equipment and supplies,BASSINETS OR CRADLES,2084,0,0,4,0.11,75
17,child nursery equipment and supplies,BOOK BAGS OR BACK CARRIERS (EXCL. BABY C,13796,0,0,16,0.08,383
18,child nursery equipment and supplies,BOTTLE WARMERS,99,0,0,1,0.4,5
19,child nursery equipment and supplies,CAR SEATS (FOR INFANTS OR CHILDREN),5916,0,2,8,0.16,205
20,child nursery equipment and supplies,CRIB MOBILES OR CRIB GYMS,52,0,0,0,0.0,1
21,child nursery equipment and supplies,DIAPER FASTENERS,46,0,0,0,0.0,1
22,child nursery equipment and supplies,DIAPER PAILS,15,0,0,0,0.0,2
23,child nursery equipment and supplies,DIAPERS,3984,0,0,9,0.14,129
24,child nursery equipment and supplies,"DOLLIES, HANDTRUCKS OR LUGGAGE CARRIERS",4539,0,0,7,0.14,99
25,child nursery equipment and supplies,HIGH CHAIRS,9715,2,0,11,0.09,320
26,child nursery equipment and supplies,"INFANT&TODDLER PLAY CTRS,EXCL JUMPERS,BO",991,0,0,2,0.11,37
27,child nursery equipment and supplies,NONBABY MATTRESSES,2220,0,0,4,0.17,46
28,child nursery equipment and supplies,OTHER BABY CARRIERS,414,0,0,2,0.31,13
29,child nursery equipment and supplies,PACIFIERS OR TEETHING RINGS,1031,0,0,1,0.07,30
30,child nursery equipment and supplies,PLAYPENS,3610,0,0,4,0.08,99
31,child nursery equipment and supplies,PORTABLE BABY SWINGS (FOR HOME USE),883,0,0,1,0.05,42
32,child nursery equipment and supplies,PORTABLE CRIBS,229,0,0,0,0.0,4
33,child nursery equipment and supplies,POTTY CHAIRS OR TRAINING SEATS,299,0,0,0,0.0,14
34,child nursery equipment and supplies,SHOELACE FASTENERS (FOR INFANTS),49,0,0,0,0.0,1
35,child nursery equipment and supplies,TODDLER BEDS,711,0,0,1,0.09,22
36,cleaning equipment and chemicals,ABRASIVE CLEANERS,644,0,0,1,0.1,20
37,cleaning equipment and chemicals,"AMMONIA, HOUSEHOLD",1051,0,0,1,0.08,25
38,cleaning equipment and chemicals,"AUTOMOTIVE WAXES, POLISHES OR CLEANERS",373,0,0,1,0.17,12
39,cleaning equipment and chemicals,BLEACHERS,14555,0,0,16,0.08,402
40,cleaning equipment and chemicals,BLEACHES (NONCOSMETIC),12473,0,0,22,0.13,338
41,cleaning equipment and chemicals,BUCKETS OR PAILS,14442,0,0,32,0.21,306
42,cleaning equipment and chemicals,CAUSTICS,141,0,0,2,0.8,5
43,cleaning equipment and chemicals,"DETERGENTS, NOT SPECIFIED",2121,0,0,2,0.09,44
44,cleaning equipment and chemicals,DRAIN CLEANERS,1721,0,0,4,0.24,33
45,cleaning equipment and chemicals,FLOOR BUFFERS OR WAXERS,52,0,0,0,0.0,1
46,cleaning equipment and chemicals,FLOOR WAXES,626,0,0,1,0.11,18
47,cleaning equipment and chemicals,GENERAL PURPOSE HOUSEHOLD CLEANERS,11332,0,0,20,0.14,293
